name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
nbody,java,5,50000,1429,0.160,0,0,46% 62% 9% 31%,0.120
nbody,java,5,50000,1429,0.160,0,0,25% 0% 33% 73%,0.120
nbody,java,5,50000,1429,0.164,0,0,33% 15% 38% 77%,0.122
nbody,java,5,50000,1429,0.163,0,0,18% 8% 46% 55%,0.123
nbody,java,5,50000,1429,0.158,0,0,27% 0% 73% 33%,0.118
nbody,java,5,50000,1429,0.168,0,0,31% 58% 21% 42%,0.125
nbody,java,3,10000,1430,0.142,0,0,8% 36% 38% 64%,0.112
nbody,java,3,20000,1430,0.148,0,0,40% 0% 73% 27%,0.107
nbody,java,3,30000,1430,0.155,0,0,30% 0% 67% 46%,0.113
nbody,java,3,40000,1430,0.161,0,0,9% 83% 33% 9%,0.118
nbody,java,3,50000,1430,0.166,0,0,42% 83% 15% 15%,0.127
nbody,java,3,50000,1430,0.162,0,0,8% 25% 64% 42%,0.123
nbody,java,3,50000,1430,0.172,0,0,8% 25% 77% 38%,0.126
nbody,java,3,50000,1430,0.164,0,0,25% 8% 42% 54%,0.123
nbody,java,3,50000,1430,0.164,0,0,25% 14% 38% 58%,0.127
nbody,java,3,50000,1430,0.165,0,0,8% 25% 69% 40%,0.125
nbody,python,2,10000,1242,0.216,684,0,9% 0% 100% 4%,0.219
nbody,python,2,20000,1242,0.377,1692,0,3% 3% 100% 0%,0.379
nbody,python,2,30000,1242,0.570,8644,0,3% 100% 5% 3%,0.572
nbody,python,2,40000,1242,0.733,8480,0,0% 100% 1% 1%,0.735
nbody,python,2,50000,1242,0.913,8684,0,1% 1% 99% 3%,0.915
nbody,python,2,50000,1242,0.947,8656,0,100% 1% 0% 2%,0.948
nbody,python,2,50000,1242,0.931,8524,0,1% 100% 3% 1%,0.933
nbody,python,2,50000,1242,0.881,8596,0,2% 100% 3% 1%,0.883
nbody,python,2,50000,1242,0.958,8656,0,0% 100% 2% 1%,0.960
nbody,python,2,50000,1242,0.951,8444,0,2% 4% 2% 100%,0.953
nbody,php,3,10000,1082,0.072,0,0,0% 100% 0% 13%,0.074
nbody,php,3,20000,1082,0.137,0,0,7% 0% 100% 7%,0.139
nbody,php,3,30000,1082,0.203,628,0,9% 0% 0% 91%,0.221
nbody,php,3,40000,1082,0.272,620,0,0% 100% 4% 4%,0.275
nbody,php,3,50000,1082,0.325,620,0,0% 100% 0% 6%,0.327
nbody,php,3,50000,1082,0.325,620,0,0% 3% 100% 3%,0.326
nbody,php,3,50000,1082,0.320,624,0,0% 6% 100% 0%,0.322
nbody,php,3,50000,1082,0.323,624,0,0% 100% 3% 0%,0.325
nbody,php,3,50000,1082,0.325,624,0,0% 100% 6% 0%,0.327
nbody,php,3,50000,1082,0.322,624,0,3% 6% 0% 97%,0.323
nbody,java,1,10000,1430,0.172,0,0,20% 83% 11% 28%,0.185
nbody,java,1,20000,1430,0.184,0,0,38% 69% 0% 33%,0.125
nbody,java,1,30000,1430,0.187,0,0,38% 67% 27% 14%,0.143
nbody,java,1,40000,1430,0.193,0,0,36% 8% 92% 38%,0.133
nbody,java,1,50000,1430,0.201,0,0,40% 64% 7% 33%,0.144
nbody,java,1,50000,1430,0.200,0,0,71% 33% 0% 36%,0.143
nbody,java,1,50000,1430,0.201,0,0,53% 54% 7% 33%,0.142
nbody,java,1,50000,1430,0.205,0,0,73% 43% 7% 23%,0.143
nbody,java,1,50000,1430,0.198,0,0,67% 40% 29% 0%,0.140
nbody,java,1,50000,1430,0.202,0,0,62% 43% 40% 18%,0.143
spectralnorm,php,1,1000,1152,4.262,19964,0,96% 96% 96% 96%,1.117
spectralnorm,php,1,2000,1152,17.360,21644,0,97% 98% 97% 97%,4.509
spectralnorm,php,1,3000,1152,37.268,21600,0,98% 99% 98% 98%,9.498
spectralnorm,php,1,3000,1152,37.289,21564,0,98% 98% 98% 98%,9.573
spectralnorm,php,1,3000,1152,37.543,21564,0,99% 98% 99% 99%,9.542
spectralnorm,php,1,3000,1152,37.808,21356,0,98% 98% 98% 98%,9.683
spectralnorm,php,1,3000,1152,37.239,21644,0,99% 99% 99% 99%,9.437
spectralnorm,php,1,3000,1152,38.977,21308,0,98% 98% 98% 98%,9.971
spectralnorm,php,3,1000,1210,7.448,20076,0,97% 97% 96% 96%,1.939
spectralnorm,php,3,2000,1210,29.608,21260,0,98% 97% 97% 97%,7.629
spectralnorm,php,3,3000,1210,66.584,22476,0,99% 98% 99% 98%,16.925
spectralnorm,php,3,3000,1210,66.430,23124,0,98% 98% 98% 99%,17.060
spectralnorm,php,3,3000,1210,66.550,23344,0,98% 99% 99% 99%,17.491
spectralnorm,php,3,3000,1210,67.425,23244,0,98% 99% 98% 98%,17.196
spectralnorm,php,3,3000,1210,66.694,22032,0,98% 98% 98% 98%,17.019
spectralnorm,php,3,3000,1210,66.715,23136,0,99% 99% 99% 99%,16.946
spectralnorm,java,1,1000,514,0.775,36348,0,10% 1% 97% 13%,0.677
spectralnorm,java,1,2000,514,2.426,36588,0,3% 97% 2% 6%,2.315
spectralnorm,java,1,3000,514,5.128,36916,0,100% 3% 1% 1%,5.031
spectralnorm,java,1,3000,514,5.144,36876,0,3% 2% 99% 1%,5.051
spectralnorm,java,1,3000,514,5.145,37196,0,99% 2% 1% 2%,5.055
spectralnorm,java,1,3000,514,5.124,36808,0,43% 3% 58% 1%,5.047
spectralnorm,java,1,3000,514,5.143,36956,0,1% 2% 2% 99%,5.055
spectralnorm,java,1,3000,514,5.124,36764,0,2% 99% 1% 1%,5.047
spectralnorm,python,6,1000,328,21.396,8748,0,1% 1% 43% 57%,21.403
spectralnorm,python,6,2000,328,88.831,9108,0,98% 3% 0% 0%,88.859
spectralnorm,python,6,3000,328,193.288,8944,0,1% 1% 100% 0%,193.343
spectralnorm,php,2,1000,397,7.439,7860,0,100% 1% 1% 1%,7.443
spectralnorm,php,2,2000,397,29.789,8288,0,8% 92% 1% 1%,29.800
spectralnorm,php,2,3000,397,66.988,8340,0,0% 100% 1% 1%,67.013
spectralnorm,php,2,3000,397,69.453,8240,0,35% 65% 1% 1%,69.476
spectralnorm,php,2,3000,397,66.947,8136,0,1% 0% 9% 92%,66.966
spectralnorm,php,2,3000,397,66.967,8276,0,1% 1% 100% 1%,66.987
spectralnorm,php,2,3000,397,66.959,8412,0,2% 3% 57% 45%,66.989
spectralnorm,php,2,3000,397,66.946,8368,0,0% 1% 100% 1%,66.966
spectralnorm,python,7,1000,417,22.451,48952,0,93% 94% 92% 93%,6.203
spectralnorm,python,7,2000,417,89.507,48888,0,98% 98% 97% 98%,22.980
spectralnorm,python,7,3000,417,201.463,49624,0,99% 99% 99% 99%,50.859
spectralnorm,java,2,1000,950,1.103,984,0,73% 67% 78% 77%,0.384
spectralnorm,java,2,2000,950,2.675,36612,0,85% 92% 86% 81%,0.782
spectralnorm,java,2,3000,950,5.312,36372,0,94% 93% 90% 92%,1.447
spectralnorm,java,2,3000,950,5.322,36752,0,90% 95% 92% 91%,1.466
spectralnorm,java,2,3000,950,5.282,36884,0,94% 95% 90% 92%,1.430
spectralnorm,java,2,3000,950,5.272,36580,0,96% 91% 92% 89%,1.443
spectralnorm,java,2,3000,950,5.321,36588,0,91% 92% 89% 93%,1.468
spectralnorm,java,2,3000,950,5.344,36532,0,92% 93% 93% 90%,1.473
spectralnorm,java,3,1000,756,0.991,924,0,58% 70% 86% 62%,0.366
spectralnorm,java,3,2000,756,2.600,37000,0,85% 91% 84% 87%,0.759
spectralnorm,java,3,3000,756,5.324,37504,0,90% 88% 92% 92%,1.482
spectralnorm,java,3,3000,756,5.273,37432,0,91% 92% 88% 89%,1.489
spectralnorm,java,3,3000,756,5.287,37504,0,94% 90% 88% 89%,1.467
spectralnorm,java,3,3000,756,5.303,37612,0,89% 90% 86% 89%,1.503
spectralnorm,java,3,3000,756,5.266,37616,0,89% 90% 90% 92%,1.461
spectralnorm,java,3,3000,756,5.280,37604,0,88% 91% 90% 92%,1.471
