name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,ghc,1,14,494,0.061,1404,0,17% 29% 67% 67%,0.063,0.113
binarytrees,ghc,1,21,494,15.768,672308,0,14% 74% 18% 10%,13.511,15.733
binarytrees,icx,1,7,654,0.002,0,0,0% 0% 18% 100%,0.116,0.137
binarytrees,icx,1,14,654,0.093,3376,0,0% 0% 100% 30%,0.095,0.123
binarytrees,icx,1,21,654,18.585,263680,0,100% 1% 1% 1%,18.587,18.977
binarytrees,ruby,5,7,1008,0.332,285412,0,2% 6% 6% 90%,0.891,0.921
binarytrees,ruby,5,14,1008,0.692,292232,0,85% 35% 29% 20%,0.420,0.708
binarytrees,ruby,5,21,1008,75.683,680796,0,70% 90% 60% 64%,26.714,76.037
binarytrees,mri,4,7,364,0.014,1340,0,30% 4% 11% 22%,0.271,0.180
binarytrees,mri,4,14,364,1.642,18988,0,100% 1% 0% 1%,1.644,1.664
binarytrees,mri,4,21,364,687.801,1560732,0,15% 62% 2% 27%,688.327,736.542
binarytrees,typescript,7,7,519,0.130,35504,0,3% 1% 39% 7%,1.488,0.732
binarytrees,typescript,7,14,519,0.141,34228,0,85% 36% 15% 8%,0.128,0.183
binarytrees,typescript,7,21,519,39.819,1079164,0,32% 30% 27% 28%,34.106,40.163
binarytrees,go,1,7,482,0.004,0,0,0% 60% 0% 0%,0.056,0.034
binarytrees,go,1,14,482,0.260,6720,0,32% 48% 20% 26%,0.205,0.257
binarytrees,go,1,21,482,48.342,247624,0,42% 40% 47% 46%,27.760,48.714
binarytrees,ghc,5,7,561,0.008,0,0,0% 30% 0% 64%,0.101,0.094
binarytrees,ghc,5,14,561,0.057,0,0,33% 50% 60% 50%,0.034,0.066
binarytrees,ghc,5,21,561,15.565,736472,0,47% 45% 83% 38%,7.326,15.604
binarytrees,java,2,7,552,0.183,33224,0,14% 5% 13% 64%,1.249,1.203
binarytrees,java,2,14,552,0.157,49696,0,23% 29% 15% 85%,0.134,0.203
binarytrees,java,2,21,552,5.500,2057464,0,97% 5% 7% 8%,4.793,5.635
binarytrees,dartjit,4,7,1387,0.764,133116,0,26% 22% 15% 36%,2.375,2.374
binarytrees,dartjit,4,14,1387,0.605,150568,0,32% 38% 53% 29%,0.413,0.623
binarytrees,dartjit,4,21,1387,31.075,600404,0,62% 59% 64% 56%,13.050,31.354
binarytrees,mri,3,7,400,0.011,2156,0,0% 0% 23% 82%,0.227,0.238
binarytrees,mri,3,14,400,2.007,12704,0,1% 0% 0% 100%,2.010,2.020
binarytrees,mri,3,21,400,567.643,840244,0,0% 3% 0% 97%,567.983,572.943
binarytrees,mri,5,7,1008,0.021,3600,0,3% 9% 34% 18%,0.327,0.212
binarytrees,mri,5,14,1008,1.733,11708,0,90% 47% 56% 87%,0.625,1.752
binarytrees,mri,5,21,1008,992.975,1413456,0,73% 72% 75% 95%,316.779,997.026
binarytrees,fpascal,6,7,936,0.007,0,0,0% 11% 33% 22%,0.090,0.060
